id,type,start,end
ld1,Lockdown,2020-03-22,2020-05-03
lld,Lockdown,2020-11-02,2020-12-15
ld2,Lockdown,2020-12-16,2021-03-07
inz,Lockdown,2021-03-08,2021-04-18
bnb,Lockdown,2021-04-19,2021-06-30
tms,Event,2021-03-16,2021-04-24
001,Event,2020-02-26,2020-02-26
002,Misc,2020-03-02,2020-03-02
003,Pandemic Start,2020-03-11,2020-03-11
004,Misc,2020-03-12,2020-03-12
005,Limititation,2020-03-16,2020-03-16
006,Misc,2020-03-23,2020-03-23
007,Limititation,2020-04-07,2020-04-07
008,Limititation,2020-04-10,2020-04-10
009,Loosening,2020-04-20,2020-04-20
010,Loosening,2020-04-30,2020-04-30
011,Loosening,2020-04-23,2020-04-23
012,Limititation,2020-04-27,2020-04-27
013,Loosening,2020-05-04,2020-05-04
014,Loosening,2020-05-05,2020-05-05
015,Loosening,2020-05-06,2020-05-06
016,Loosening,2020-05-11,2020-05-11
017,Event,2020-05-11,2020-05-11
018,Event,2020-05-16,2020-05-16
019,Loosening,2020-05-18,2020-05-18
020,Loosening,2020-05-29,2020-05-29
021,Loosening,2020-06-01,2020-06-01
022,Loosening,2020-06-02,2020-06-02
023,Loosening,2020-06-06,2020-06-06
024,Loosening,2020-06-09,2020-06-09
025,Loosening,2020-06-15,2020-06-15
026,Event,2020-06-16,2020-06-16
027,Loosening,2020-06-29,2020-06-29
028,Loosening,2020-06-30,2020-06-30
029,Event,2020-07-15,2020-07-15
030,Loosening,2020-07-01,2020-07-01
031,Misc,2020-08-01,2020-08-01
032,Misc,2020-09-01,2020-09-01
033,Limititation,2020-10-01,2020-10-01
034,Event,2020-10-15,2020-10-15
035,Curfew,2020-10-24,2020-10-24
036,Limititation,2020-12-01,2020-12-01
037,Curfew,2020-12-12,2020-12-12
038,Event,2020-12-28,2020-12-28
039,Event,2021-01-04,2021-01-04
040,Event,2021-01-11,2021-01-11
041,Limititation,2021-01-18,2021-01-18
042,Limititation,2021-01-20,2021-01-20
043,Event,2021-01-22,2021-01-22
044,Event,2021-01-27,2021-01-27
045,Loosening,2021-02-22,2021-02-22
046,Misc,2021-02-23,2021-02-23
047,Misc,2021-03-12,2021-03-12
048,Loosening,2021-03-17,2021-03-17
049,Loosening,2021-03-22,2021-03-22
050,Event,2021-04-06,2021-04-06
051,Loosening,2021-05-04,2021-05-04
052,Loosening,2021-05-10,2021-05-10
053,Loosening,2021-05-13,2021-05-13
054,Loosening,2021-05-17,2021-05-17
055,Loosening,2021-05-24,2021-05-24
056,Loosening,2021-06-07,2021-06-07
057,Loosening,2021-06-08,2021-06-08
058,Event,2021-06-14,2021-06-14
059,Event,2021-06-18,2021-06-18
060,Loosening,2021-06-21,2021-06-21
061,Loosening,2021-06-28,2021-06-28
062,Loosening,2021-07-01,2021-07-01
063,Event,2021-07-13,2021-07-13
064,Misc,2021-08-19,2021-08-19
065,Event,2021-08-28,2021-08-28
066,Event,2021-09-01,2021-09-01
067,Misc,2021-09-10,2021-09-10
068,Loosening,2021-09-17,2021-09-17
069,Misc,2021-09-21,2021-09-21
070,Misc,2021-09-30,2021-09-30
071,Event,2021-10-11,2021-10-11
072,Loosening,2021-10-15,2021-10-15
073,Loosening,2021-10-18,2021-10-18
074,Misc,2021-10-29,2021-10-29
075,Event,2021-11-03,2021-11-03
076,Misc,2021-11-05,2021-11-05
077,Loosening,2021-11-05,2021-11-05
078,Limititation,2021-11-16,2021-11-16
079,Misc,2021-11-18,2021-11-18
080,Event,2021-11-24,2021-11-24
081,Event,2021-11-30,2021-11-30
082,Limititation,2021-12-04,2021-12-04
083,Event,2021-12-15,2021-12-15
084,Misc,2021-12-17,2021-12-17
085,Event,2021-12-20,2021-12-20
086,Misc,2021-12-22,2021-12-22
087,Limititation,2021-12-27,2021-12-27
088,Event,2022-01-10,2022-01-10
089,Loosening,2022-01-12,2022-01-12
090,Loosening,2022-01-26,2022-01-26
091,Loosening,2022-02-02,2022-02-02
092,Misc,2022-02-03,2022-02-03
093,Event,2022-02-08,2022-02-08
094,Loosening,2022-02-09,2022-02-09
095,Event,2022-03-15,2022-03-15
096,Misc,2022-03-16,2022-03-16
097,Loosening,2022-04-03,2022-04-03
098,Loosening,2022-05-02,2022-05-02
099,Misc,2022-05-24,2022-05-24
100,Loosening,2022-06-04,2022-06-04
101,Event,2022-06-22,2022-06-22
102,Event,2022-06-24,2022-06-24
103,Misc,2022-06-30,2022-06-30
104,Misc,2022-07-25,2022-07-25
105,Misc,2022-08-08,2022-08-08
106,Event,2022-09-19,2022-09-19
107,Misc,2022-09-21,2022-09-21
108,Loosening,2022-10-01,2022-10-01
109,Loosening,2022-11-16,2022-11-16
110,Misc,2022-12-26,2022-12-26
111,Event,2023-01-01,2023-01-01
112,Loosening,2023-01-31,2023-01-31
113,Misc,2023-02-08,2023-02-08
114,Misc,2023-02-28,2023-02-28
115,Loosening,2023-03-01,2023-03-01
116,Pandemic End,2023-04-07,2023-04-07
117,Misc,2023-04-25,2023-04-25
118,Event,2023-04-30,2023-04-30
