day(S),day(E),name,note,start,end
Monday,Saturday,Weihnachtsferien,leer,2013-12-23,2014-01-04
Monday,Friday,Fasnetferien,leer,2014-03-03,2014-03-07
Monday,Friday,Osterferien,leer,2014-04-14,2014-04-25
Monday,Saturday,Pfingstferien,leer,2014-06-09,2014-06-21
Thursday,Saturday,Sommerferien,leer,2014-07-31,2014-09-13
Monday,Friday,Herbstferien,leer,2014-10-27,2014-10-31
Monday,Monday,Weihnachtsferien,leer,2014-12-22,2015-01-05
Monday,Friday,Fasnetferien,leer,2015-02-16,2015-02-20
Monday,Friday,Osterferien,leer,2015-03-30,2015-04-10
Tuesday,Saturday,Pfingstferien,leer,2015-05-26,2015-06-06
Thursday,Saturday,Sommerferien,leer,2015-07-30,2015-09-12
Saturday,Friday,Herbstferien,leer,2015-10-31,2015-11-06
Wednesday,Saturday,Weihnachtsferien,leer,2015-12-23,2016-01-09
Monday,Friday,Fasnetferien,leer,2016-02-08,2016-02-12
Thursday,Saturday,Osterferien,leer,2016-03-24,2016-04-02
Tuesday,Saturday,Pfingstferien,leer,2016-05-17,2016-05-28
Thursday,Saturday,Sommerferien,leer,2016-07-28,2016-09-10
Monday,Friday,Herbstferien,leer,2016-10-31,2016-11-04
Friday,Saturday,Weihnachtsferien,leer,2016-12-23,2017-01-07
Monday,Friday,Fasnetferien,leer,2017-02-27,2017-03-03
Monday,Friday,Osterferien,leer,2017-04-10,2017-04-21
Tuesday,Friday,Pfingstferien,leer,2017-06-06,2017-06-16
Thursday,Saturday,Sommerferien,leer,2017-07-27,2017-09-09
Monday,Friday,Herbstferien,leer,2017-10-30,2017-11-03
Friday,Friday,Weihnachtsferien,leer,2017-12-22,2018-01-05
Monday,Friday,Fasnetferien,leer,2018-02-12,2018-02-16
Monday,Friday,Osterferien,leer,2018-03-26,2018-04-06
Tuesday,Saturday,Pfingstferien,leer,2018-05-22,2018-06-02
Thursday,Saturday,Sommerferien,leer,2018-07-26,2018-09-08
Monday,Friday,Herbstferien,leer,2018-10-29,2018-11-02
Monday,Saturday,Weihnachtsferien,leer,2018-12-24,2019-01-05
Monday,Friday,Fasnetferien,leer,2019-03-04,2019-03-08
Monday,Saturday,Osterferien,leer,2019-04-15,2019-04-27
Tuesday,Friday,Pfingstferien,leer,2019-06-11,2019-06-21
Monday,Tuesday,Sommerferien,leer,2019-07-29,2019-09-10
Monday,Wednesday,Herbstferien,leer,2019-10-28,2019-10-30
Monday,Saturday,Weihnachtsferien,leer,2019-12-23,2020-01-04
Monday,Friday,Fasnetferien,leer,2020-02-24,2020-02-28
Monday,Sunday,Covid-19,1,2020-03-16,2020-04-05
Monday,Saturday,Osterferien,leer,2020-04-06,2020-04-18
Sunday,Sunday,Covid-19,1,2020-04-19,2020-05-03
Tuesday,Saturday,Pfingstferien,leer,2020-06-02,2020-06-13
Thursday,Saturday,Sommerferien,leer,2020-07-30,2020-09-12
Monday,Friday,Herbstferien,leer,2020-10-26,2020-10-30
Wednesday,Tuesday,Covid-19,1,2020-12-16,2020-12-22
Wednesday,Saturday,Weihnachtsferien,leer,2020-12-23,2021-01-09
Sunday,Sunday,Covid-19,1,2021-01-10,2021-01-31
Monday,Sunday,Covid-19,1,2021-02-01,2021-02-21
Tuesday,Saturday,Osterferien,leer,2021-04-06,2021-04-10
Tuesday,Saturday,Pfingstferien,leer,2021-05-25,2021-06-05
Thursday,Saturday,Sommerferien,leer,2021-07-29,2021-09-11
Tuesday,Saturday,Herbstferien,leer,2021-11-02,2021-11-06
Thursday,Saturday,Weihnachtsferien,leer,2021-12-23,2022-01-08
Monday,Friday,Fasnetferien,leer,2022-02-28,2022-03-04
Tuesday,Saturday,Osterferien,leer,2022-04-19,2022-04-23
Tuesday,Saturday,Pfingstferien,leer,2022-06-07,2022-06-18
Thursday,Saturday,Sommerferien,leer,2022-07-28,2022-09-10
Wednesday,Friday,Herbstferien,leer,2022-11-02,2022-11-04
Wednesday,Saturday,Weihnachtsferien,leer,2022-12-21,2023-01-07
Monday,Friday,Fasnetferien,leer,2023-02-20,2023-02-24
Thursday,Saturday,Osterferien,leer,2023-04-06,2023-04-15
Tuesday,Friday,Pfingstferien,leer,2023-05-30,2023-06-09
Thursday,Saturday,Sommerferien,leer,2023-07-27,2023-09-09
Monday,Friday,Herbstferien,leer,2023-10-30,2023-11-03
Saturday,Friday,Weihnachtsferien,leer,2023-12-23,2024-01-05
